2022-04-07 19:18:35,472 ********Appium Server Starting********
2022-04-07 19:18:36,702 Could not connect to port 4723 on host 127.0.0.1
2022-04-07 19:18:36,702 Could not get IP address for host: 127.0.0.1
2022-04-07 19:18:46,855 ********Android Driver created********
2022-04-07 19:18:46,856 *********LS10 Device Setup beggining*********
2022-04-07 19:18:47,419 Hurry Google Home app Launched Successfully and Staretd automating the App
2022-04-07 19:18:50,103 Choose a Account You will be able to control the devices and Services in this Home
2022-04-07 19:18:56,273 'Click on OK button in Choose a Account screen'
2022-04-07 19:19:32,428 Choose a Account You will be able to control the devices and Services in this Home
2022-04-07 19:19:38,410 'Click on OK button in Choose a Account screen'
2022-04-07 19:19:39,615 *********click on Next*********
2022-04-07 19:19:43,133 click on Plus icon on Home
2022-04-07 19:19:53,450 Click on Setup a Device
2022-04-07 19:20:03,651 click on New Device
2022-04-07 19:20:08,881 Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000198753967C0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/touch/perform
2022-04-07 19:20:10,948 Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000019875396910>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/touch/perform
2022-04-07 19:20:12,996 Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000198753968E0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/touch/perform
2022-04-07 19:20:17,098 Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000019875396EB0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/element
2022-04-07 19:20:19,148 Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000198753CC0A0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/element
2022-04-07 19:20:21,198 Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000198753CC190>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/element
2022-04-07 19:20:25,314 Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000198753CC6A0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/element
2022-04-07 19:20:27,347 Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000198753CC850>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/element
2022-04-07 19:20:29,397 Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000198753CC940>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/element
2022-04-07 19:20:33,497 Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000198753CCC40>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/touch/perform
2022-04-07 19:20:35,563 Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000198753CCE80>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/touch/perform
2022-04-07 19:20:37,614 Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000198753E0040>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/touch/perform
2022-04-07 19:20:41,747 Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000198753E04F0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/element
2022-04-07 19:20:43,780 Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000198753E06A0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/element
2022-04-07 19:20:45,843 Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000198753E0790>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /wd/hub/session/03233099-7528-4c38-8113-283f5c60ea32/element
